ID,orgao
99131,T1
99132,T1
99133,T1
99134,T1
99135,T1
99137,T1
99139,T1
99140,T1
99141,T1
99142,T1
99143,T1
99144,T1
99145,T1
99192,T1
99193,T1
99136,T1
99138,T1
99170,T1
99171,T1
99172,T1
99148,T1
99189,T1
99190,T1
99191,T1
99174,T1
99194,T1
99195,T1
98889,T1
98890,T1
98909,T1
98911,T1
99248,T1
99289,T1
99290,T1
99291,T1
99271,T1
99272,T1
98730,T1
98831,T1
98833,T1
98834,T1
99010,T1
99011,T1
99129,T1
99149,T1
99169,T1
99147,T1
99329,T1
99330,T1
99334,T1
98810,T1
98849,T1
99049,T1
99050,T1
99051,T1
99052,T1
99053,T1
99054,T1
99055,T1
99056,T1
99069,T1
99057,T1
99109,T1
99130,T1
99229,T1
99230,T1
99231,T1
99212,T1
99213,T1
99236,T1
99249,T1
99250,T1
99251,T1
99252,T1
99253,T1
99254,T1
99255,T1
99256,T1
99257,T1
99258,T1
99259,T1
99260,T1
99261,T1
99262,T1
99263,T1
99265,T1
99089,T1
99286,T1
99009,T1
98870,T2
98871,T2
98929,T2
98915,T2
98930,T2
98931,T2
98989,T2
98970,T2
98990,T2
98991,T2
98972,T2
99029,T2
99030,T2
99031,T2
99218,T2
99219,T2
99220,T2
99221,T2
99222,T2
99223,T2
99235,T2
99224,T2
99269,T2
99233,T2
99225,T2
99312,T2
99279,T2
99314,T2
99316,T2
99317,T2
99320,T2
99278,T2
99280,T2
99315,T2
99323,T2
99326,T2
99287,T2
99242,T2
99243,T2
99244,T2
99245,T2
99246,T2
99247,T2
99270,T2
99292,T2
99274,T2
99275,T2
99276,T2
99295,T2
99296,T2
99299,T2
99302,T2
99277,T2
99303,T2
99305,T2
99307,T2
99310,T2
99311,T2
99313,T2
99318,T2
99319,T2
99285,T2
99322,T2
99325,T2
99327,T2
99328,T2
99288,T2
99339,T2
99332,T2
99358,T2
99345,T2
99346,T2
99359,T2
99347,T2
99348,T2
99281,T2
99239,TP
99241,TP
99304,TP
99309,TP
99283,TP
99284,TP
99324,TP
99331,TP
99333,TP
99335,TP
99350,TP
99336,TP
99337,TP
99338,TP
99351,TP
99352,TP
99353,TP
99340,TP
99354,TP
99341,TP
99342,TP
99355,TP
99356,TP
99357,TP
99343,TP
99344,TP
99196,TP
99197,TP
99177,TP
99178,TP
99198,TP
99179,TP
99199,TP
99180,TP
99181,TP
99201,TP
99182,TP
99183,TP
99202,TP
99300,TP
98869,TP
98969,TP
99217,TP
99234,TP
99306,TP
99308,TP
98912,TP
98913,TP
99293,TP
98749,TP
98837,TP
99146,TP
99173,TP
99216,TP
99237,TP
99238,TP
99240,TP
99214,TP
99232,TP
99264,TP
99175,TP
99176,TP
99297,TP
99298,TP
98809,TP
98829,TP
99273,TP
99012,TP
99266,TP
99268,TP
99349,TP
99150,TP
99267,TP
99209,TP
99210,TP
99151,TP
99211,TP
99301,TP
98832,TP
99483,T1
99484,T1
99486,T1
99487,T1
99488,T1
99496,T1
99497,T1
99513,T1
99514,T1
99516,T1
99485,T1
99494,T1
99499,T1
99518,T1
99376,T1
99394,T1
99395,T1
99377,T1
99378,T1
99379,T1
99398,T1
99399,T1
99535,T1
99536,T1
99537,T1
99550,T1
99551,T1
99538,T1
99371,T1
99375,T1
99506,T1
99507,T1
99508,T1
99549,T1
99469,T1
99470,T1
99489,T1
99471,T1
99472,T1
99473,T1
99474,T1
99475,T1
99482,T1
99443,T1
99498,T1
99531,T1
99533,T1
99373,T2
99374,T2
99389,T2
99493,T2
99492,T2
99477,T2
99478,T2
99479,T2
99480,T2
99481,T2
99532,T2
99522,TP
99552,TP
99397,TP
99476,TP
99509,TP
99511,TP
99512,TP
99515,TP
99517,TP
99519,TP
99520,TP
99521,TP
99523,TP
99503,TP
99524,TP
99525,TP
99526,TP
99500,TP
99501,TP
99502,TP
99391,TP
99392,TP
99393,TP
99539,TP
99390,TP
99449,TP
99440,TP
99441,TP
99490,TP
99372,TP
99491,TP
99527,TP
99528,TP
99529,TP
99442,TP
99530,TP
99504,TP
99505,TP
99370,TP
99409,TP
99436,TP
99439,TP
99542,TP
99429,TP
99433,TP
99432,TP
99430,TP
99450,TP
99431,TP
99434,TP
99435,TP
99437,TP
99438,TP
99534,TP
99739,T1
99740,T1
99741,T1
99742,T1
99716,T1
99743,T1
99745,T1
99747,T1
99749,T1
99717,T1
99753,T1
99755,T1
99748,T1
99750,T1
99751,T1
99752,T1
99756,T1
99757,T1
99736,T1
99712,T1
99738,T1
99837,T1
99838,T1
99839,T1
99816,T1
99840,T1
99841,T1
99842,T1
99843,T1
99844,T1
99846,T1
99733,T1
99790,T1
99809,T1
99810,T1
99609,T1
99737,T1
99792,T1
99829,T1
99830,T1
99831,T1
99811,T1
99833,T1
99834,T1
99812,T1
99813,T1
99669,T1
99868,T2
99540,T2
99553,T2
99554,T2
99541,T2
99709,T2
99710,T2
99730,T2
99731,T2
99556,T2
99557,T2
99558,T2
99559,T2
99560,T2
99734,T2
99744,T2
99718,T2
99754,T2
99719,T2
99821,T2
99852,T2
99854,T2
99824,T2
99856,T2
99826,T2
99845,T2
99848,T2
99817,T2
99818,T2
99849,T2
99819,T2
99850,T2
99820,T2
99851,T2
99863,T2
99881,T2
99864,T2
99867,T2
99882,T2
99889,T2
99890,T2
99891,T2
99721,TP
99725,TP
99769,TP
99649,TP
99825,TP
99857,TP
99827,TP
99828,TP
99858,TP
99869,TP
99870,TP
99872,TP
99873,TP
99874,TP
99875,TP
99861,TP
99862,TP
99722,TP
99723,TP
99724,TP
99758,TP
99727,TP
99728,TP
99789,TP
99715,TP
99822,TP
99823,TP
99855,TP
99847,TP
99835,TP
99836,TP
99815,TP
99629,TP
99689,TP
99832,TP
99859,TP
99860,TP
99880,TP
99720,TP
99876,TP
99877,TP
99878,TP
99814,TP
99770,TP
99713,TP
99791,TP
99853,TP
99866,TP
99569,TP
99714,TP
99739,T1
99740,T1
99741,T1
99742,T1
99716,T1
99743,T1
99745,T1
99747,T1
99749,T1
99717,T1
99753,T1
99755,T1
99748,T1
99750,T1
99751,T1
99752,T1
99756,T1
99757,T1
99736,T1
99712,T1
99738,T1
99837,T1
99838,T1
99839,T1
99816,T1
99840,T1
99841,T1
99842,T1
99843,T1
99844,T1
99846,T1
99733,T1
99790,T1
99809,T1
99810,T1
99609,T1
99737,T1
99792,T1
99829,T1
99830,T1
99831,T1
99811,T1
99833,T1
99834,T1
99812,T1
99813,T1
99669,T1
99868,T2
99540,T2
99553,T2
99554,T2
99541,T2
99709,T2
99710,T2
99730,T2
99731,T2
99556,T2
99557,T2
99558,T2
99559,T2
99560,T2
99734,T2
99744,T2
99718,T2
99754,T2
99719,T2
99821,T2
99852,T2
99854,T2
99824,T2
99856,T2
99826,T2
99845,T2
99848,T2
99817,T2
99818,T2
99849,T2
99819,T2
99850,T2
99820,T2
99851,T2
99863,T2
99881,T2
99864,T2
99867,T2
99882,T2
99889,T2
99890,T2
99891,T2
99721,TP
99725,TP
99769,TP
99649,TP
99825,TP
99857,TP
99827,TP
99828,TP
99858,TP
99869,TP
99870,TP
99872,TP
99873,TP
99874,TP
99875,TP
99861,TP
99862,TP
99722,TP
99723,TP
99724,TP
99758,TP
99727,TP
99728,TP
99789,TP
99715,TP
99822,TP
99823,TP
99855,TP
99847,TP
99835,TP
99836,TP
99815,TP
99629,TP
99689,TP
99832,TP
99859,TP
99860,TP
99880,TP
99720,TP
99876,TP
99877,TP
99878,TP
99814,TP
99770,TP
99713,TP
99791,TP
99853,TP
99866,TP
99569,TP
99714,TP
100052,T1
100053,T1
100030,T1
100031,T1
100032,T1
100033,T1
100055,T1
100056,T1
100009,T1
100035,T1
100054,T1
100057,T1
100058,T1
99911,T1
100103,T1
100104,T1
100109,T1
100105,T1
100110,T1
100106,T1
100107,T1
100041,T1
100077,T1
100093,T1
100094,T1
100151,T1
100141,T1
100142,T1
100153,T1
100159,T1
100120,T1
99892,T1
100049,T1
100050,T1
100051,T1
100043,T1
100089,T1
100090,T1
100046,T2
99949,T2
99952,T2
99953,T2
100072,T2
100037,T2
100038,T2
100039,T2
100073,T2
100040,T2
100042,T2
100074,T2
100075,T2
100076,T2
100149,T2
100139,T2
100136,T2
100125,T2
100126,T2
100128,T2
100154,T2
100045,T2
100047,T2
100096,T2
100097,T2
100048,T2
100098,T2
100099,T2
100100,T2
100101,T2
100102,T2
100144,T2
100169,T2
100170,T2
100171,T2
100172,T2
100160,T2
100173,T2
100174,T2
100161,T2
100070,TP
100010,TP
100108,TP
100123,TP
100137,TP
100127,TP
100150,TP
100152,TP
100143,TP
100145,TP
100146,TP
100155,TP
100147,TP
100156,TP
100157,TP
100158,TP
100059,TP
100061,TP
100062,TP
100063,TP
100064,TP
100065,TP
100066,TP
100067,TP
100068,TP
100069,TP
100135,TP
100071,TP
100115,TP
100116,TP
100122,TP
100133,TP
100124,TP
100134,TP
100140,TP
99909,TP
99910,TP
99912,TP
100112,TP
100113,TP
99950,TP
100095,TP
100044,TP
99989,TP
100091,TP
100092,TP
100118,TP
100060,TP
100130,TP
100131,TP
100121,TP
100178,TP
100111,TP
100148,TP
100117,TP
100119,TP
100138,TP
99990,TP
100198,TP
100340,T1
100341,T1
100343,T1
100344,T1
100345,T1
100346,T1
100348,T1
100349,T1
100350,T1
100351,T1
100372,T1
100373,T1
100374,T1
100353,T1
100375,T1
100334,T1
100335,T1
100336,T1
100356,T1
100347,T1
100369,T1
100370,T1
100371,T1
100376,T1
100377,T1
100379,T1
100229,T1
100190,T1
100230,T1
100191,T1
100195,T1
100330,T1
100331,T1
100332,T1
100337,T1
100338,T1
100339,T1
100352,T1
100472,T1
100473,T1
100392,T1
100409,T1
100393,T1
100410,T1
100411,T1
100394,T1
100412,T1
100189,T1
100249,T1
100269,T1
100272,T1
100289,T1
100274,T1
100419,T1
100442,T1
100271,T1
100273,T1
100309,T1
100333,T1
100386,T1
100387,T1
100389,T1
100390,T1
100391,T1
100413,T1
100179,T2
100180,T2
100162,T2
100163,T2
100396,T2
100398,T2
100416,T2
100417,T2
100399,T2
100401,T2
100418,T2
100432,T2
100470,T2
100471,T2
100424,T2
100425,T2
100434,T2
100435,T2
100436,T2
100448,T2
100382,T2
100359,T2
100360,T2
100383,T2
100361,T2
100384,T2
100385,T2
100451,T2
100446,T2
100447,T2
100469,T2
100380,TP
100474,TP
100397,TP
100400,TP
100420,TP
100421,TP
100406,TP
100407,TP
100423,TP
100430,TP
100433,TP
100426,TP
100437,TP
100438,TP
100427,TP
100428,TP
100440,TP
100449,TP
100441,TP
100354,TP
100355,TP
100415,TP
100395,TP
100405,TP
100408,TP
100422,TP
100429,TP
100192,TP
100193,TP
100403,TP
100404,TP
100270,TP
100450,TP
100452,TP
100357,TP
100358,TP
100388,TP
100444,TP
100445,TP
100381,TP
100194,TP
100414,TP
100431,TP
100443,TP
100378,TP
100454,TP
100453,TP
100231,TP
100402,TP
100733,T1
100737,T1
100754,T1
100738,T1
100739,T1
100755,T1
100740,T1
100756,T1
100742,T1
100743,T1
100758,T1
100744,T1
100773,T1
100496,T1
100556,T1
100538,T1
100539,T1
100734,T1
100735,T1
100736,T1
100757,T1
100748,T1
100769,T1
100759,T1
100770,T1
100760,T1
100761,T1
100762,T1
100511,T1
100493,T1
100512,T1
100494,T1
100497,T1
100555,T1
100536,T1
100537,T1
100675,T1
100676,T1
100677,T1
100678,T1
100679,T1
100680,T1
100696,T1
100681,T1
100455,T1
100609,T1
100591,T1
100652,T1
100689,T1
100771,T1
100772,T1
100777,T1
100513,T1
100498,T1
100540,T1
100560,T1
100569,T1
100610,T1
100649,T1
100650,T1
100669,T1
100690,T1
100717,T1
100719,T1
100720,T1
100753,T1
100509,T1
100495,T1
100789,T2
100530,T2
100531,T2
100532,T2
100533,T2
100551,T2
100552,T2
100553,T2
100554,T2
100534,T2
100535,T2
100559,T2
100593,T2
100594,T2
100629,T2
100630,T2
100595,T2
100670,T2
100671,T2
100672,T2
100673,T2
100674,T2
100712,T2
100714,T2
100716,T2
100698,T2
100718,T2
100699,T2
100721,T2
100707,T2
100708,T2
100732,T2
100751,T2
100752,T2
100693,T2
100694,T2
100695,T2
100768,T2
100790,T2
100779,T2
100792,T2
100780,T2
100793,T2
100794,T2
100631,TP
100835,TP
100836,TP
100829,TP
100709,TP
100697,TP
100710,TP
100715,TP
100723,TP
100726,TP
100728,TP
100706,TP
100731,TP
100749,TP
100750,TP
100741,TP
100745,TP
100747,TP
100774,TP
100775,TP
100763,TP
100765,TP
100766,TP
100776,TP
100767,TP
100778,TP
100529,TP
100549,TP
100550,TP
100589,TP
100590,TP
100592,TP
100713,TP
100700,TP
100701,TP
100730,TP
100489,TP
100510,TP
100492,TP
100557,TP
100558,TP
100682,TP
100683,TP
100684,TP
100685,TP
100687,TP
