datainicial,datafinal,plenario,T1,T2
18/12/2020,05/02/2021,137,138,102
05/02/2021,12/02/2021,46,98,108
12/02/2021,23/02/2021,290,229,262
19/02/2021,26/02/2021,213,123,13
26/02/2021,05/03/2021,120,150,155
26/02/2021,05/03/2021,120,150,155
05/03/2021,12/03/2021,173,105,109
12/03/2021,19/03/2021,132,207,85
19/03/2021,26/03/2021,130,141,140
26/03/2021,07/04/2021,102,139,149
26/03/2021,07/04/2021,102,139,149
02/04/2021,12/04/2021,87,125,80
09/04/2021,16/04/2021,86,173,110
16/04/2021,26/04/2021,86,157,94
23/04/2021,30/04/2021,136,149,116
30/04/2021,11/05/2021,142,140,140
30/04/2021,11/05/2021,142,140,140
07/05/2021,14/05/2021,146,174,140
14/05/2021,21/05/2021,130,112,149
21/05/2021,21/05/2021,1,0,0
21/05/2021,28/05/2021,101,194,156
28/05/2021,07/06/2021,147,189,116
28/05/2021,07/06/2021,147,189,116
04/06/2021,11/06/2021,96,167,155
10/06/2021,10/06/2021,3,0,0
10/06/2021,11/06/2021,1,0,0
11/06/2021,18/06/2021,149,179,59
18/06/2021,25/06/2021,133,161,121
24/06/2021,25/06/2021,1,0,0
25/06/2021,02/08/2021,152,170,111
30/06/2021,01/07/2021,1,0,0
30/06/2021,01/07/2021,1,0,0
25/06/2021,02/08/2021,152,170,111
06/08/2021,16/08/2021,131,130,110
13/08/2021,20/08/2021,185,304,273
20/08/2021,27/08/2021,201,228,60
27/08/2021,03/09/2021,167,74,101
27/08/2021,03/09/2021,167,74,101
02/09/2021,03/09/2021,1,0,0
03/09/2021,14/09/2021,153,126,132
08/09/2021,08/09/2021,1,0,0
10/09/2021,17/09/2021,106,105,74
17/09/2021,24/09/2021,118,127,93
24/09/2021,01/10/2021,129,121,115
24/09/2021,01/10/2021,129,121,115
01/10/2021,08/10/2021,125,131,120
08/10/2021,18/10/2021,98,137,124
15/10/2021,22/10/2021,92,91,118
22/10/2021,03/11/2021,153,108,82
29/10/2021,10/11/2021,120,175,78
22/10/2021,03/11/2021,153,108,82
29/10/2021,10/11/2021,120,175,78
05/11/2021,12/11/2021,42,90,41
09/11/2021,10/11/2021,3,0,0
12/11/2021,22/11/2021,96,126,103
19/11/2021,26/11/2021,98,178,77
26/11/2021,03/12/2021,83,164,110
26/11/2021,03/12/2021,83,164,110
03/12/2021,13/12/2021,109,127,115
06/12/2021,08/12/2021,1,0,0
10/12/2021,17/12/2021,183,105,81
14/12/2021,16/12/2021,4,0,0
15/12/2021,16/12/2021,1,0,0
17/12/2021,07/02/2022,131,100,71
07/02/2020,13/02/2020,171,82,121
14/02/2020,20/02/2020,188,213,194
21/02/2020,02/03/2020,37,45,109
28/02/2020,05/03/2020,56,78,45
21/02/2020,02/03/2020,37,45,109
28/02/2020,05/03/2020,56,78,45
06/03/2020,12/03/2020,101,89,162
13/03/2020,19/03/2020,61,126,105
20/03/2020,26/03/2020,139,144,137
27/03/2020,02/04/2020,95,82,60
27/03/2020,02/04/2020,95,82,60
03/04/2020,14/04/2020,122,143,108
10/04/2020,17/04/2020,85,63,58
17/04/2020,24/04/2020,97,178,152
24/04/2020,30/04/2020,171,364,436
01/05/2020,08/05/2020,116,263,105
08/05/2020,14/05/2020,187,151,131
15/05/2020,21/05/2020,124,211,173
22/05/2020,28/05/2020,110,234,141
29/05/2020,05/06/2020,126,176,143
29/05/2020,05/06/2020,126,176,143
05/06/2020,15/06/2020,124,216,126
12/06/2020,19/06/2020,120,168,77
19/06/2020,26/06/2020,169,171,186
26/06/2020,04/08/2020,87,163,144
26/06/2020,04/08/2020,87,163,144
07/08/2020,17/08/2020,178,334,128
14/08/2020,21/08/2020,437,418,378
21/08/2020,28/08/2020,352,171,161
28/08/2020,04/09/2020,271,175,88
28/08/2020,04/09/2020,271,175,88
04/09/2020,14/09/2020,284,159,64
11/09/2020,21/09/2020,74,117,61
18/09/2020,25/09/2020,85,150,110
25/09/2020,02/10/2020,49,109,228
25/09/2020,02/10/2020,49,109,228
02/10/2020,09/10/2020,152,169,251
09/10/2020,19/10/2020,119,104,214
16/10/2020,23/10/2020,136,126,112
21/10/2020,26/10/2020,1,0,0
23/10/2020,03/11/2020,154,138,89
30/10/2020,10/11/2020,147,121,80
23/10/2020,03/11/2020,154,138,89
30/10/2020,10/11/2020,147,121,80
06/11/2020,13/11/2020,112,91,97
13/11/2020,20/11/2020,228,102,145
20/11/2020,27/11/2020,180,148,126
27/11/2020,04/12/2020,210,154,90
27/11/2020,04/12/2020,210,154,90
04/12/2020,14/12/2020,250,170,125
11/12/2020,18/12/2020,177,178,167
18/12/2020,05/02/2021,137,138,102
14/12/2018,01/02/2019,52,75,25
01/02/2019,07/02/2019,49,65,23
08/02/2019,14/02/2019,76,79,59
15/02/2019,21/02/2019,121,237,242
22/02/2019,28/02/2019,44,138,160
01/03/2019,11/03/2019,89,136,73
08/03/2019,14/03/2019,3,73,293
15/03/2019,21/03/2019,76,109,111
22/03/2019,28/03/2019,92,126,191
29/03/2019,04/04/2019,83,97,166
29/03/2019,04/04/2019,83,97,166
05/04/2019,11/04/2019,58,147,117
12/04/2019,23/04/2019,79,89,96
19/04/2019,26/04/2019,21,180,80
26/04/2019,03/05/2019,94,73,128
26/04/2019,03/05/2019,94,73,128
03/05/2019,09/05/2019,89,82,68
10/05/2019,16/05/2019,91,99,64
17/05/2019,23/05/2019,64,102,106
24/05/2019,30/05/2019,85,151,567
31/05/2019,06/06/2019,80,76,60
31/05/2019,06/06/2019,80,76,60
07/06/2019,13/06/2019,92,93,151
14/06/2019,21/06/2019,75,80,58
21/06/2019,27/06/2019,67,185,237
28/06/2019,05/08/2019,75,48,176
28/06/2019,05/08/2019,75,48,176
02/08/2019,08/08/2019,38,63,15
09/08/2019,15/08/2019,86,68,32
16/08/2019,22/08/2019,199,232,434
23/08/2019,29/08/2019,129,225,141
30/08/2019,05/09/2019,97,80,130
30/08/2019,05/09/2019,97,80,130
06/09/2019,12/09/2019,135,116,131
13/09/2019,19/09/2019,111,95,192
20/09/2019,26/09/2019,73,218,194
27/09/2019,03/10/2019,62,94,157
27/09/2019,03/10/2019,62,94,157
04/10/2019,10/10/2019,99,87,132
11/10/2019,17/10/2019,122,84,117
18/10/2019,24/10/2019,105,196,255
25/10/2019,04/11/2019,82,87,181
25/10/2019,04/11/2019,82,87,181
01/11/2019,08/11/2019,87,74,94
08/11/2019,19/11/2019,64,83,51
22/11/2019,28/11/2019,138,181,312
29/11/2019,05/12/2019,111,73,234
29/11/2019,05/12/2019,111,73,234
06/12/2019,12/12/2019,156,104,121
13/12/2019,19/12/2019,163,176,180
15/12/2017,02/02/2018,20,35,34
02/02/2018,08/02/2018,22,46,3
09/02/2018,19/02/2018,21,249,160
16/02/2018,22/02/2018,197,81,102
23/02/2018,01/03/2018,32,49,74
23/02/2018,01/03/2018,32,49,74
02/03/2018,08/03/2018,58,120,97
09/03/2018,15/03/2018,68,122,111
16/03/2018,22/03/2018,50,112,182
23/03/2018,03/04/2018,63,93,118
30/03/2018,06/04/2018,11,56,7
23/03/2018,03/04/2018,63,93,118
30/03/2018,06/04/2018,11,56,7
06/04/2018,12/04/2018,53,81,75
13/04/2018,19/04/2018,86,112,107
20/04/2018,26/04/2018,93,160,70
27/04/2018,04/05/2018,45,101,95
27/04/2018,04/05/2018,45,101,95
04/05/2018,10/05/2018,14,63,31
11/05/2018,17/05/2018,130,109,46
18/05/2018,24/05/2018,56,128,107
25/05/2018,01/06/2018,78,118,91
25/05/2018,01/06/2018,78,118,91
01/06/2018,07/06/2018,2,75,35
08/06/2018,14/06/2018,88,125,109
15/06/2018,21/06/2018,51,128,105
22/06/2018,28/06/2018,142,312,203
29/06/2018,06/08/2018,73,57,93
29/06/2018,06/08/2018,73,57,93
03/08/2018,09/08/2018,3,56,15
10/08/2018,16/08/2018,163,224,189
17/08/2018,23/08/2018,40,155,109
24/08/2018,30/08/2018,40,196,113
31/08/2018,06/09/2018,48,153,86
31/08/2018,06/09/2018,48,153,86
07/09/2018,14/09/2018,194,130,67
14/09/2018,20/09/2018,9,101,44
21/09/2018,27/09/2018,36,196,91
28/09/2018,04/10/2018,24,198,54
28/09/2018,04/10/2018,24,198,54
05/10/2018,11/10/2018,113,104,35
12/10/2018,19/10/2018,135,122,62
19/10/2018,25/10/2018,83,187,75
26/10/2018,05/11/2018,59,178,70
26/10/2018,05/11/2018,59,178,70
02/11/2018,09/11/2018,95,147,44
09/11/2018,16/11/2018,72,165,81
16/11/2018,22/11/2018,78,92,76
23/11/2018,29/11/2018,90,197,193
30/11/2018,06/12/2018,42,82,60
30/11/2018,06/12/2018,42,82,60
07/12/2018,13/12/2018,89,158,200
14/12/2018,01/02/2019,52,75,25
16/12/2016,03/02/2017,59,56,55
03/02/2017,09/02/2017,75,45,6
10/02/2017,16/02/2017,50,162,39
17/02/2017,23/02/2017,46,113,96
24/02/2017,06/03/2017,82,101,109
24/02/2017,06/03/2017,82,101,109
03/03/2017,09/03/2017,8,1,0
10/03/2017,16/03/2017,11,115,91
17/03/2017,23/03/2017,117,86,124
24/03/2017,30/03/2017,71,129,115
31/03/2017,06/04/2017,74,63,98
31/03/2017,06/04/2017,74,63,98
07/04/2017,19/04/2017,44,57,61
14/04/2017,24/04/2017,0,51,24
21/04/2017,28/04/2017,28,152,134
28/04/2017,04/05/2017,55,31,78
28/04/2017,04/05/2017,55,31,78
05/05/2017,11/05/2017,49,60,47
12/05/2017,18/05/2017,25,51,80
19/05/2017,25/05/2017,44,189,134
26/05/2017,01/06/2017,50,113,111
26/05/2017,01/06/2017,50,113,111
02/06/2017,08/06/2017,57,72,136
09/06/2017,16/06/2017,46,71,79
16/06/2017,22/06/2017,17,106,56
23/06/2017,29/06/2017,54,180,264
30/06/2017,07/08/2017,56,29,63
30/06/2017,07/08/2017,56,29,63
11/08/2017,18/08/2017,42,232,142
18/08/2017,24/08/2017,85,241,162
25/08/2017,31/08/2017,54,126,104
01/09/2017,08/09/2017,56,92,105
08/09/2017,14/09/2017,53,106,49
15/09/2017,21/09/2017,29,84,62
22/09/2017,28/09/2017,53,222,229
29/09/2017,05/10/2017,47,93,138
29/09/2017,05/10/2017,47,93,138
06/10/2017,13/10/2017,38,123,68
13/10/2017,19/10/2017,48,58,41
20/10/2017,26/10/2017,62,323,136
27/10/2017,06/11/2017,38,116,91
27/10/2017,06/11/2017,38,116,91
03/11/2017,09/11/2017,25,50,11
10/11/2017,16/11/2017,5,71,80
17/11/2017,23/11/2017,59,103,41
24/11/2017,30/11/2017,54,189,117
01/12/2017,07/12/2017,39,65,134
08/12/2017,15/12/2017,46,102,203
15/12/2017,02/02/2018,20,35,34
12/08/2016,18/08/2016,222,0,18
19/08/2016,25/08/2016,2,215,68
26/08/2016,01/09/2016,185,101,81
26/08/2016,01/09/2016,185,101,81
02/09/2016,08/09/2016,4,87,74
09/09/2016,15/09/2016,10,76,45
16/09/2016,22/09/2016,19,92,79
23/09/2016,29/09/2016,5,215,127
30/09/2016,06/10/2016,5,68,117
30/09/2016,06/10/2016,5,68,117
07/10/2016,13/10/2016,173,99,81
14/10/2016,20/10/2016,50,80,64
21/10/2016,27/10/2016,60,205,100
28/10/2016,08/11/2016,173,84,90
28/10/2016,08/11/2016,173,84,90
04/11/2016,10/11/2016,63,81,24
11/11/2016,17/11/2016,103,154,76
18/11/2016,24/11/2016,69,152,76
25/11/2016,01/12/2016,146,62,170
25/11/2016,01/12/2016,146,62,170
02/12/2016,08/12/2016,87,162,102
09/12/2016,15/12/2016,82,146,149
16/12/2016,03/02/2017,59,56,55
